PBMT,Factored,NMT
"Također, učinak vitamina D na rak nije <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""Project Manager"" id=""2991""/>jasno<mqm:endIssue id=""2991""/>.","Također, učinak vitamina D na rak nije <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""Project Manager"" id=""2992""/>jasno<mqm:endIssue id=""2992""/>.",Također učinak vitamina D na karcinom nije jasan.
"U suštini, to je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2993""/>podzemni kabelÂ željeznice<mqm:endIssue id=""2993""/>.","U suštini, to je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2994""/>podzemni kabel željeznice.<mqm:endIssue id=""2994""/>","U biti, to je podzemna <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3548""/>željeznica<mqm:endIssue id=""3548""/>."
"Štoviše, on je gradski čovjek, koji <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""2995""/>ljude <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2996""/>čini osmijeh<mqm:endIssue id=""2996""/> na ulici<mqm:endIssue id=""2995""/> i podigne svačiji duh.","Štoviše, on je gradski čovjek, koji će nasmijati ljude na ulici i digne svačiji duh.","Štoviše, on je gradski <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""3549""/>čovjek, koji čini da se ljudi smiješe na ulici i podižu<mqm:endIssue id=""3549""/> svačiji duh."
"Najveći rizik <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2997""/><mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""2998""/>je<mqm:endIssue id=""2998""/><mqm:endIssue id=""2997""/><mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""2999""/> <mqm:endIssue id=""2999""/>Terješkova.","Najveći rizik <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3000""/>je<mqm:endIssue id=""3000""/> za Terješkova.","Najveći rizik je bio za <mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""3550""/>tereskovu<mqm:endIssue id=""3550""/>."
"Nekoliko sati kasnije, timÂ <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""Project Manager"" id=""3001""/>našao<mqm:endIssue id=""3001""/>Â lijek za tu bolest.","Nekoliko sati kasnije, tim je našao lijek za tu bolest.","Nekoliko sati kasnije, tim je pronašao lijek za ovu bolest."
On je radio s velikim igračima.,On je radio s velikim igračima.,Radio je s velikim igračima.
"Osim toga, novi podaci <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3002""/>otkrili<mqm:endIssue id=""3002""/> ovaj tjedan na velikom kongresu fizike u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3003""/>Kyoto<mqm:endIssue id=""3003""/><mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3004""/> <mqm:endIssue id=""3004""/>da to potvrditi, ali još uvijek imaÂ <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3005""/>dovoljno<mqm:endIssue id=""3005""/>Â podataka da bude savršeno <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator1"" id=""3006""/>siguran<mqm:endIssue id=""3006""/>.","Osim toga, novi <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator1"" id=""3007""/>podaci <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3008""/>otkrili<mqm:endIssue id=""3008""/> ovaj tjedan na velikom kongresu fizike u Kyotu, čini se da<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3009""/> <mqm:endIssue id=""3009""/>potvrdimo<mqm:endIssue id=""3007""/>, ali tu <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""3010""/>su još uvijek dovoljno podataka<mqm:endIssue id=""3010""/>Â da bude savršeno <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator1"" id=""3011""/>siguran<mqm:endIssue id=""3011""/>.","Osim toga, novi <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""3551""/>podaci <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3552""/>pokazuju<mqm:endIssue id=""3552""/> da ovaj tjedan na velikom matematičkom kongresu u Kyotu to potvrđuje<mqm:endIssue id=""3551""/>, ali još uvijek nema dovoljno podataka da bi bili sasvim sigurni."
"No,Â <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""Project Manager"" id=""3012""/>aktivisti za ljudska prava,<mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""Project Manager"" id=""3013""/>postavio<mqm:endIssue id=""3012""/> pitanje u više navrata u medijima prije nego što je zakon stupio na snagu<mqm:endIssue id=""3013""/>: Što će to zapravo <mqm:startIssue type=""Tense/aspect/mood"" severity=""critical"" note="""" agent=""Project Manager"" id=""3014""/>postigli<mqm:endIssue id=""3014""/>?","No, <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""Project Manager"" id=""3015""/>aktivisti za ljudska prava, <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""Project Manager"" id=""3016""/>postavio<mqm:endIssue id=""3015""/> pitanje u više navrata u medijima prije nego što je zakon stupio na snagu<mqm:endIssue id=""3016""/>: Što će to zapravo postići?","Ali aktivisti za ljudska prava, pitali su pitanje više puta u tisku prije nego štoje zakon stupio na snagu: Što će to zapravo postići"
"Viktor Baranets potvrđuje da nakon <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3017""/>napuštanja<mqm:endIssue id=""3017""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3018""/>zahtjev<mqm:endIssue id=""3018""/> na <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3019""/>stranicama<mqm:endIssue id=""3019""/> možete ostati bez oružja i ići u zatvor.","Viktor Baranets potvrđuje da je nakon <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3020""/>napuštanja<mqm:endIssue id=""3020""/> zahtjeva na <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator1"" id=""3021""/>sajtu<mqm:endIssue id=""3021""/> možete ostati bez oružja i ići u zatvor.","Viktor Baranets potvrđuje da je nakon što <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3553""/>je ostavio<mqm:endIssue id=""3553""/> zahtjev na mjestu <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3554""/>gdje<mqm:endIssue id=""3554""/> možete ostati bez oružja i ići u zatvor."
"""<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3022""/>To je dovoljno<mqm:endIssue id=""3022""/> da <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3023""/>imaju<mqm:endIssue id=""3023""/>Â određenu svotu novca"", kaže reklama <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3024""/>ide<mqm:endIssue id=""3024""/> na <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator1"" id=""3025""/>sajtu<mqm:endIssue id=""3025""/> ""<mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""3026""/>Buy<mqm:endIssue id=""3026""/> pištolj ili pušku"".","""<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3027""/>To je dovoljno<mqm:endIssue id=""3027""/> imati određenu sumu novca,"" kaže da reklama <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3028""/>ide<mqm:endIssue id=""3028""/>Â na web stranici ""<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3029""/>Kupujmo<mqm:endIssue id=""3029""/>Â <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3030""/>pištolj ili puška<mqm:endIssue id=""3030""/>.""","""Dovoljno je imati određenu sumu novca"", kaže oglas na <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator1"" id=""3555""/>sajtu<mqm:endIssue id=""3555""/> ""Kupi pištolj ili pušku""."
"Prema tradiciji, ljudi različitih vjera <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3031""/>ostavite<mqm:endIssue id=""3031""/> poruke <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3032""/>ovdje<mqm:endIssue id=""3032""/> sa svojimÂ <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3033""/>željama,koji<mqm:endIssue id=""3033""/> su potom ispunjeni.","Prema tradiciji, ljudi različitih vjera ostavljaju poruke <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3034""/>ovdje<mqm:endIssue id=""3034""/> sa svojim željama, <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3035""/>koje su onda ispunjeni<mqm:endIssue id=""3035""/>.","Prema tradiciji, ljudi različitih vjera ostavljaju <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3556""/>bilješke<mqm:endIssue id=""3556""/> ovdje sa svojim željama, koje <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3557""/>su tada ispunjene<mqm:endIssue id=""3557""/>."
"- Usprkos činjenici daÂ Kinect <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3036""/>pomaknuo<mqm:endIssue id=""3036""/> interakciju na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3037""/>fizičkom nivou<mqm:endIssue id=""3037""/>, još uvijek se<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3038""/> <mqm:endIssue id=""3038""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3039""/>javlja<mqm:endIssue id=""3039""/> na ravnom ekranu, ponekad u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3040""/>3D<mqm:endIssue id=""3040""/>.","- Usprkos činjenici daÂ Kinect <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3041""/>pomaknuo<mqm:endIssue id=""3041""/> interakciju na fizičku razinu, još uvijek se<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3042""/> <mqm:endIssue id=""3042""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3043""/>javlja<mqm:endIssue id=""3043""/> na ravnom ekranu, ponekad u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3044""/>3D<mqm:endIssue id=""3044""/>.","- <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3559""/>Zbog<mqm:endIssue id=""3559""/>Â činjenice da je Kinect pomaknuo interakciju na fizički <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator1"" id=""3561""/>nivo<mqm:endIssue id=""3561""/>, mnogo se još uvijek događa na ravnim ekranima, ponekad u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3560""/>3D<mqm:endIssue id=""3560""/>."
"Komisija <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3045""/>je<mqm:endIssue id=""3045""/> Charbonneau ""je već <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3046""/>srušena<mqm:endIssue id=""3046""/> dva gradonačelnika"" dodaje, nadajući se da će uspjeti u ""otkrivanju <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3047""/>sheme<mqm:endIssue id=""3047""/> iza pojedinaca"".","<mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3048""/>Komisija <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3049""/>je<mqm:endIssue id=""3049""/> Charbonneau ""je već srušio<mqm:endIssue id=""3048""/> dva gradonačelnika"" dodaje, nadajući se da će uspjeti u ""razotkrivanju <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3050""/>shema<mqm:endIssue id=""3050""/> iza pojedinaca.""","<mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3563""/>The<mqm:endIssue id=""3563""/>Â Charbonneau komisija ""već je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3564""/>donio<mqm:endIssue id=""3564""/> dva gradonačelnika"" dodaje, nadajući se da će to uspjeti <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3565""/>"""" otkrivajući<mqm:endIssue id=""3565""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3566""/>sheme<mqm:endIssue id=""3566""/> iza pojedinaca. """
"Postoji opće <mqm:startIssue type=""Mistranslation"" severity=""critical"" note="""" agent=""annotator1"" id=""3051""/>kretanje<mqm:endIssue id=""3051""/> do <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3052""/><mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""3053""/>-sad<mqm:endIssue id=""3053""/> mora<mqm:endIssue id=""3052""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3054""/>razmotriti<mqm:endIssue id=""3054""/> hijerarhijske sustave za <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3055""/>više horizontalne sustava<mqm:endIssue id=""3055""/>.","Postoji opće kretanje <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3056""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3057""/>na hijerarhijsku<mqm:endIssue id=""3057""/> -sad mora razmotriti sustave<mqm:endIssue id=""3056""/> za <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3058""/>više horizontalnih<mqm:endIssue id=""3058""/> sustava.","Postoji općeniti pokret za ponovnu procjenu hijerarhijskih sustava za <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3567""/>više horizontalnih<mqm:endIssue id=""3567""/> sustava."
"Čuo sam o <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3059""/>ovome<mqm:endIssue id=""3059""/>: Stranica je registrirana izvan područja primjene <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3060""/>zakona od Rusije<mqm:endIssue id=""3060""/>.","Čuo sam o <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3061""/>ovome<mqm:endIssue id=""3061""/>: Stranica je registrirana izvan područja primjene <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3062""/>zakona od Rusije<mqm:endIssue id=""3062""/>.","Čuo sam za <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3568""/>ovo<mqm:endIssue id=""3568""/>: Normalno je da je lokacija registrirana izvan područja primjenjivosti zakona Rusije."
"U jednom kutu imamo <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3063""/>dobri građani<mqm:endIssue id=""3063""/>Â <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3064""/>zovu<mqm:endIssue id=""3064""/>Â fermioni, koji mudro poštuju paulijev princip.","U jednom kutu imamo dobre građaneÂ <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3065""/>zovu<mqm:endIssue id=""3065""/> fermioni, koji <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3066""/>je<mqm:endIssue id=""3066""/> mudro <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3067""/>pokoravati<mqm:endIssue id=""3067""/> paulijev princip.","U jednom kutu imamo dobre građane koji se zovu fermioni, koji mudro slušaju <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3569""/>pauli<mqm:endIssue id=""3569""/> princip."
"Dapače, smatra se da taj bozon <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3068""/>je<mqm:endIssue id=""3068""/> dio mehanizma odgovornog za <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3069""/>mase<mqm:endIssue id=""3069""/>Â <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3070""/>sve<mqm:endIssue id=""3070""/>Â u Svemiru, ništa manje.","Dapače, smatra se da taj bozon <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3071""/>je<mqm:endIssue id=""3071""/> dio mehanizma odgovornog za <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3072""/>masu sve<mqm:endIssue id=""3072""/> u Svemiru, ništa manje.","Uistinu, vjeruje se da je ovaj Boson dio mehanizma koji je odgovoran za masu svega u svemiru<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3570""/> <mqm:endIssue id=""3570""/>."
"<mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""Project Manager"" id=""3073""/>Stalni <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""3074""/>jedinice<mqm:endIssue id=""3073""/> za borbu protiv korupcije, nastalih<mqm:endIssue id=""3074""/> u 2011. godini, također je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""3075""/>zajedno<mqm:endIssue id=""3075""/> sa svojomÂ <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""3076""/>vojskom vladini analitičari, istražitelji, i revizori<mqm:endIssue id=""3076""/>.","<mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""Project Manager"" id=""3077""/>Stalni Antikorupcijske <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""Project Manager"" id=""3078""/>jedinice<mqm:endIssue id=""3077""/>, nastao<mqm:endIssue id=""3078""/> 2011. godine, također je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""3079""/>zajedno<mqm:endIssue id=""3079""/> sa svojom <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""3080""/>vojskom vladini analitičari, istražitelji, i revizore<mqm:endIssue id=""3080""/>.","Stalni odjel za borbu protiv korupcije, nastao u 2011. godini, također je povezan sa svojom vojskom vladinih analitičara, istražitelja i revizora."
"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3081""/>Ni<mqm:endIssue id=""3081""/>Â <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3082""/>svemoćni briga<mqm:endIssue id=""3082""/>","<mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3083""/>Njega nije svemoguć<mqm:endIssue id=""3083""/>","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3571""/>Bez ikakve<mqm:endIssue id=""3571""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3572""/>moćne<mqm:endIssue id=""3572""/> skrbi"
"<mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3084""/>Tolerirati<mqm:endIssue id=""3084""/>, ponekad <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3085""/>pomaže<mqm:endIssue id=""3085""/>, od strane lokalnih pobunjenika, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3086""/>on<mqm:endIssue id=""3086""/>više neće biti tako kada zapadnjaci <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3087""/>postaju<mqm:endIssue id=""3087""/> sve <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3088""/>manje<mqm:endIssue id=""3088""/>.","<mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3089""/>Tolerirati<mqm:endIssue id=""3089""/>, ponekad <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3090""/>pomaže<mqm:endIssue id=""3090""/>, od strane lokalnih pobunjenika, <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3091""/>potonja<mqm:endIssue id=""3091""/> više neće biti tako kada zapadnjaci <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3092""/>postaju<mqm:endIssue id=""3092""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3093""/>slabije<mqm:endIssue id=""3093""/>.","Tolerirani, ponekad potpomognuti lokalnim pobunjenicima, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3573""/>ovo<mqm:endIssue id=""3573""/> više neće biti tako, kada zapadnjaci postanu <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3574""/>više oskudni<mqm:endIssue id=""3574""/>."
Samo zamislite...,"Samo <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""3094""/>zamisli<mqm:endIssue id=""3094""/>...",Samo zamislite...
"Usput, to je <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3095""/>najneobičniji mora<mqm:endIssue id=""3095""/> na svijetu, smješten <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator1"" id=""3096""/>u<mqm:endIssue id=""3096""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3097""/>najniže točke<mqm:endIssue id=""3097""/> planeta - 417 m ispod razine mora.","Uzgred, to je <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3098""/>najneobičniji <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3099""/>mora<mqm:endIssue id=""3098""/> u svijetu, koji<mqm:endIssue id=""3099""/> se nalazi u najnižoj točki planeta - 417 m ispod morske razine.","Usput, to je najneobičnije more na svijetu, smješteno u najnižem dijelu planeta - 417 m ispod razine mora."
Ukupna dužina skijaških staza je 45 km.,Ukupna dužina skijaških staza iznosi 45 km.,Ukupna dužina skijališta je 45 km.
"Web <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3100""/><mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3101""/>stranica<mqm:endIssue id=""3100""/><mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3102""/> <mqm:endIssue id=""3102""/>pruža usluge za <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3103""/>bit novčić<mqm:endIssue id=""3103""/> su biliÂ napadnuti<mqm:endIssue id=""3101""/> i <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3104""/>bit novčiće<mqm:endIssue id=""3104""/>Â u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3105""/>depozite<mqm:endIssue id=""3105""/> <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""3106""/>ukraden<mqm:endIssue id=""3106""/>.","Web <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3107""/><mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3108""/>stranica<mqm:endIssue id=""3107""/><mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3109""/> <mqm:endIssue id=""3109""/>pruža usluge za Bitcoin napadnuti<mqm:endIssue id=""3108""/> su i <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3110""/>bit novčiće<mqm:endIssue id=""3110""/> u depozitima <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""3111""/>ukraden<mqm:endIssue id=""3111""/>.","Web stranice koje pružaju usluge za Bitcoin su napadnute, a<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3575""/> <mqm:endIssue id=""3575""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3576""/>bit će ukradene<mqm:endIssue id=""3576""/> u depozitima."
"Za <mqm:startIssue type=""Case"" severity=""critical"" note="""" agent=""annotator1"" id=""3112""/>islamisti<mqm:endIssue id=""3112""/>, činjenica da ovajÂ <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3113""/>članak nijeizmijenjena<mqm:endIssue id=""3113""/> je jamstvoÂ <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3114""/>njihove volje i njihovo poštovanje<mqm:endIssue id=""3114""/> za druge elemente egipatskog društva.","Za <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3115""/>islamisti<mqm:endIssue id=""3115""/>, činjenica da ovaj <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3116""/>članak nije izmijenjenai dopunjena<mqm:endIssue id=""3116""/>Â je garancija <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3117""/>njihove volje i njihovo poštovanje<mqm:endIssue id=""3117""/> za druge elemente <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3118""/>od<mqm:endIssue id=""3118""/> egipatskog društva.","Za islamiste, činjenica da ovaj <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3577""/>članak nije izmijenjena<mqm:endIssue id=""3577""/> je garancija njihove dobre volje i poštovanja prema drugim elementima egipatskog društva."
Vidio sam neke stvari tamo i izašao jači.,Vidio sam neke stvari tamo i izašao jači.,"Vidjela sam neke stvari tamo i to <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3578""/>je<mqm:endIssue id=""3578""/> ojačalo."
"<mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""Project Manager"" id=""3119""/>Stalni antikorupcijske jedinice<mqm:endIssue id=""3119""/>,Â <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""Project Manager"" id=""3120""/>nastao<mqm:endIssue id=""3120""/>Â u 2011.","<mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""Project Manager"" id=""3121""/>Stalni antikorupcijske jedinice<mqm:endIssue id=""3121""/>, <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""Project Manager"" id=""3122""/>nastao<mqm:endIssue id=""3122""/> u 2011.","Trajna antikorupcijska jedinica, kreirana u 2011."
