mt_out1,mt_out2,mt_out3
"Postoji opće <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2524""/>kretanje<mqm:endIssue id=""2524""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2525""/>do -sad mora<mqm:endIssue id=""2525""/> razmotriti hijerarhijske sustave <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2526""/>za više <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2527""/>horizontalne <mqm:endIssue id=""2527""/>sustava<mqm:endIssue id=""2526""/>.","Postoji opće <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2528""/>kretanje<mqm:endIssue id=""2528""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2529""/>na hijerarhijsku -sad mora<mqm:endIssue id=""2529""/> razmotriti sustave<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2530""/> za više<mqm:endIssue id=""2530""/> horizontalnih sustava.","Postoji <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3425""/>općeniti pokret <mqm:endIssue id=""3425""/><mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3426""/>za <mqm:endIssue id=""3426""/>ponovnu procjenu hijerarhijskih sustava <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3427""/>za<mqm:endIssue id=""3427""/> više horizontalnih sustava."
"Čuo sam o <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2531""/>ovome<mqm:endIssue id=""2531""/>: Stranica je registrirana izvan područja primjene <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2532""/>zakona od Rusije<mqm:endIssue id=""2532""/>.","Čuo sam o <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2533""/>ovome<mqm:endIssue id=""2533""/>: Stranica je registrirana izvan područja primjene zakona <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator2"" id=""2534""/>od<mqm:endIssue id=""2534""/> Rusije.","Čuo sam za ovo: <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3430""/>Normalno <mqm:endIssue id=""3430""/>je da je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3428""/>lokacija<mqm:endIssue id=""3428""/> registrirana izvan područja <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3429""/>primjenjivosti<mqm:endIssue id=""3429""/> zakona Rusije."
"U jednom kutu imamo <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2535""/>dobri građani<mqm:endIssue id=""2535""/> <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2536""/>zovu <mqm:endIssue id=""2536""/>fermioni, koji mudro poštuju paulijev princip.","U jednom kutu imamo dobre građane <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2537""/>zovu<mqm:endIssue id=""2537""/> fermioni, koji <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2538""/>je<mqm:endIssue id=""2538""/> mudro <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2539""/>pokoravati<mqm:endIssue id=""2539""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2540""/>paulijev princip<mqm:endIssue id=""2540""/>.","U jednom kutu imamo <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3431""/>dobre <mqm:endIssue id=""3431""/>građane koji se zovu fermioni, koji mudro <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3432""/>slušaju <mqm:endIssue id=""3432""/>pauli princip."
"Dapače, smatra se da taj bozon <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2541""/>je <mqm:endIssue id=""2541""/>dio mehanizma odgovornog za <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2542""/>mase<mqm:endIssue id=""2542""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2543""/>sve <mqm:endIssue id=""2543""/>u Svemiru, <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2544""/>ništa manje<mqm:endIssue id=""2544""/>.","Dapače, smatra se da taj bozon <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2545""/>je<mqm:endIssue id=""2545""/> dio mehanizma odgovornog za masu <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2546""/>sve<mqm:endIssue id=""2546""/> u Svemiru, <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2547""/>ništa manje<mqm:endIssue id=""2547""/>.","Uistinu, vjeruje se da je ovaj <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""3433""/>Boson <mqm:endIssue id=""3433""/>dio mehanizma koji je odgovoran za<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3434""/> <mqm:endIssue id=""3434""/>masu svega u svemiru."
"<mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2548""/>Stalni <mqm:endIssue id=""2548""/><mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2549""/>jedinice <mqm:endIssue id=""2549""/>za borbu protiv korupcije, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2550""/>nastalih <mqm:endIssue id=""2550""/>u 2011. godini, također je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2551""/>zajedno <mqm:endIssue id=""2551""/>sa svojom vojskom <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2552""/>vladini analitičari, istražitelji, i revizori<mqm:endIssue id=""2552""/>.","<mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2553""/>Stalni<mqm:endIssue id=""2553""/> <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2554""/>Antikorupcijske jedinice<mqm:endIssue id=""2554""/>, <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2555""/>nastao<mqm:endIssue id=""2555""/> 2011. godine, također je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2556""/>zajedno<mqm:endIssue id=""2556""/> sa svojom vojskom <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2557""/>vladini analitičari, istražitelji<mqm:endIssue id=""2557""/>, i <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2558""/>revizore<mqm:endIssue id=""2558""/>.","Stalni odjel za borbu protiv korupcije, nastao u 2011. godini, također je povezan sa <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""3435""/>svojom<mqm:endIssue id=""3435""/> vojskom vladinih analitičara, istražitelja i revizora."
"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2559""/>Ni svemoćni briga<mqm:endIssue id=""2559""/>","<mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2560""/>Njega<mqm:endIssue id=""2560""/> nije <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2561""/>svemoguć<mqm:endIssue id=""2561""/>","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3436""/>Bez ikakve moćne skrbi<mqm:endIssue id=""3436""/>"
"<mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2562""/>Tolerirati<mqm:endIssue id=""2562""/>, ponekad <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2563""/>pomaže<mqm:endIssue id=""2563""/>, od strane lokalnih pobunjenika, on više neće biti <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2564""/>tako <mqm:endIssue id=""2564""/>kada zapadnjaci <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2565""/>postaju <mqm:endIssue id=""2565""/>sve <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2566""/>manje<mqm:endIssue id=""2566""/>.","<mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2567""/>Tolerirati<mqm:endIssue id=""2567""/>, ponekad <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2568""/>pomaže<mqm:endIssue id=""2568""/>, od strane lokalnih pobunjenika, <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2569""/>potonja<mqm:endIssue id=""2569""/> više neće biti tako kada zapadnjaci <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2570""/>postaju<mqm:endIssue id=""2570""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2571""/>slabije<mqm:endIssue id=""2571""/>.","Tolerirani, ponekad <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3441""/>potpomognuti <mqm:endIssue id=""3441""/>lokalnim pobunjenicima, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3438""/>ovo <mqm:endIssue id=""3438""/>više neće biti <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3439""/>tako<mqm:endIssue id=""3439""/>, kada zapadnjaci <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3440""/>postanu više oskudni<mqm:endIssue id=""3440""/>."
Samo zamislite...,Samo zamisli...,Samo zamislite...
"Usput, to je <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2572""/>najneobičniji <mqm:endIssue id=""2572""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2573""/>mora <mqm:endIssue id=""2573""/>na svijetu, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2574""/>smješten <mqm:endIssue id=""2574""/>u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2575""/>najniže<ins>Â </ins><del> </del>točke<mqm:endIssue id=""2575""/><ins>Â </ins><del> </del>planeta - 417 m ispod razine mora.","Uzgred, to je <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2576""/>najneobičniji<mqm:endIssue id=""2576""/> <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2577""/>mora<mqm:endIssue id=""2577""/> u svijetu, <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2578""/>koji<mqm:endIssue id=""2578""/> se nalazi <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2579""/>u<mqm:endIssue id=""2579""/> najnižoj točki planeta - 417 m ispod morske razine.","Usput, to je najneobičnije more na svijetu, smješteno <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3442""/>u <mqm:endIssue id=""3442""/>najnižem dijelu planeta - 417 m ispod razine mora."
Ukupna dužina skijaških staza je 45 km.,Ukupna dužina skijaških staza iznosi 45 km.,"Ukupna dužina <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3443""/>skijališta <mqm:endIssue id=""3443""/>je 45 km."
"Web <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2580""/>stranica<mqm:endIssue id=""2580""/> <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2581""/>pruža<mqm:endIssue id=""2581""/> usluge za <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2582""/>bit novčić<mqm:endIssue id=""2582""/> <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2583""/>su bili napadnuti<mqm:endIssue id=""2583""/> i <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2584""/>bit novčiće<mqm:endIssue id=""2584""/> u <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2585""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2586""/>depozite <mqm:endIssue id=""2586""/><mqm:endIssue id=""2585""/><mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2587""/>ukraden<mqm:endIssue id=""2587""/>.","Web <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2588""/>stranica<mqm:endIssue id=""2588""/> <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2589""/>pruža<mqm:endIssue id=""2589""/> usluge za Bitcoin <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2590""/>napadnuti<mqm:endIssue id=""2590""/> su i <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2591""/>bit novčiće<mqm:endIssue id=""2591""/> u depozitima <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2592""/>ukraden<mqm:endIssue id=""2592""/>.","Web stranice koje pružaju usluge za Bitcoin <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3444""/>su napadnute<mqm:endIssue id=""3444""/>, a <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3445""/>bit će ukradene u depozitima<mqm:endIssue id=""3445""/>."
"Za <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2593""/>islamisti<mqm:endIssue id=""2593""/>, činjenica da ovaj članak nije <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2594""/>izmijenjena <mqm:endIssue id=""2594""/>je jamstvo njihove <mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2595""/>volje <mqm:endIssue id=""2595""/>i <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2596""/>njihovo poštovanje <mqm:endIssue id=""2596""/><mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2597""/>za <mqm:endIssue id=""2597""/>druge elemente egipatskog društva.","Za <mqm:startIssue type=""Case"" severity=""critical"" note="""" agent=""annotator2"" id=""2598""/>islamisti<mqm:endIssue id=""2598""/>, činjenica da ovaj članak nije <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2599""/>izmijenjena i dopunjena<mqm:endIssue id=""2599""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2600""/>je<mqm:endIssue id=""2600""/> garancija njihove <mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2601""/>volje <mqm:endIssue id=""2601""/>i <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2602""/>njihovo poštovanje <mqm:endIssue id=""2602""/><mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2603""/>za <mqm:endIssue id=""2603""/>druge elemente <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator2"" id=""2604""/>od <mqm:endIssue id=""2604""/>egipatskog društva.","Za islamiste, činjenica da ovaj članak nije <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""3446""/>izmijenjena <mqm:endIssue id=""3446""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3447""/>je <mqm:endIssue id=""3447""/>garancija njihove dobre volje i poštovanja prema drugim elementima egipatskog društva."
Vidio sam neke stvari tamo i izašao jači.,Vidio sam neke stvari tamo i izašao jači.,"Vidjela sam neke stvari tamo i to <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3448""/>je <mqm:endIssue id=""3448""/>ojačalo."
"<mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2605""/>Stalni <mqm:endIssue id=""2605""/><mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2606""/>antikorupcijske jedinice<mqm:endIssue id=""2606""/>, <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2607""/>nastao <mqm:endIssue id=""2607""/>u 2011.","<mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2608""/>Stalni <mqm:endIssue id=""2608""/><mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2609""/>antikorupcijske jedinice<mqm:endIssue id=""2609""/>, <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2610""/>nastao <mqm:endIssue id=""2610""/>u 2011.","Trajna antikorupcijska jedinica, <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3449""/>kreirana <mqm:endIssue id=""3449""/>u 2011."
"<mqm:startIssue type=""Unintelligible"" severity=""null"" note="""" agent=""annotator2"" id=""2611""/>To je dugoročno otprema<ins>Â </ins><del> </del>iz skladišta do srednje razine menadžmenta tih skladišta.<mqm:endIssue id=""2611""/>","<mqm:startIssue type=""Unintelligible"" severity=""null"" note="""" agent=""annotator2"" id=""2612""/>To se otprema iz skladišta za dugoročno skladištenje sredje management ovih skladišta.<mqm:endIssue id=""2612""/>","Otpremljena je iz dugoročnih <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3450""/>skladišnih<mqm:endIssue id=""3450""/> skladišta od strane srednje razine upravljanja ovim skladištima."
"Bio <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2613""/>je <mqm:endIssue id=""2613""/>voditelj <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2614""/>Trakhtenberg <mqm:endIssue id=""2614""/>brojnih programa Hali-Gali <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2615""/>prije <mqm:endIssue id=""2615""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2616""/>puta<mqm:endIssue id=""2616""/>.","Bio <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2617""/>je <mqm:endIssue id=""2617""/>voditelj <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2618""/>Trakhtenberg <mqm:endIssue id=""2618""/>mnogih programa prije Hali-Gali <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2619""/>puta<mqm:endIssue id=""2619""/>.","Trakhtenberg je bio voditelj mnogih programa prije <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3451""/>hali-gali<mqm:endIssue id=""3451""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3452""/>vremena<mqm:endIssue id=""3452""/>."
Može li mala kupnja,,"Može li maloljetnik kupiti?"""
"Rosbalt nastavlja projekt avangarde u Sankt Peterburgu, posvećen mještanima koji su <mqm:startIssue type=""Mistranslation"" severity=""null"" note=""nedostaje čestica li"" agent=""annotator2"" id=""2620""/>pred nama<mqm:endIssue id=""2620""/>, u <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2621""/>avangardne <mqm:endIssue id=""2621""/>kulture i umjetnosti.","Rosbalt nastavlja projekt Sankt Peterburga <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2622""/>Avantgarde<mqm:endIssue id=""2622""/>, posvećen mještanima koji su <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2623""/>pred nama<mqm:endIssue id=""2623""/>, u <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2624""/>avangardne<mqm:endIssue id=""2624""/> kulture i umjetnosti.","Rosbalt nastavlja projekt Sankt Peterburg <mqm:startIssue type=""Grammar"" severity=""null"" note="""" agent=""annotator2"" id=""3453""/>Avantom<mqm:endIssue id=""3453""/>, posvećen stanovnicima koji su spred, u avangardnoj kulturi i umjetnosti."
"Dok <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2625""/>su<ins>Â </ins><mqm:endIssue id=""2625""/><del> </del>egipatski predsjednik <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2626""/>je<mqm:endIssue id=""2626""/> razgovarao jučer navečer na televiziji, demonstracije su u planu za danas popodne.","Dok je egipatski predsjednik <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2627""/>je <mqm:endIssue id=""2627""/>govorio jučer navečer na televiziji, demonstracije su planirane za popodne.","Dok je egipatski predsjednik govorio jučer na televiziji, demonstracije <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3454""/>su planirane<mqm:endIssue id=""3454""/> za ovo popodne."
Početnici traže oružje na različite načine.,Početnici traže oružje na različite načine.,Početnici traže oružje na različite načine.
"Pod pravim vladarima sve je bilo drugačije. Kraljevi možda nisu razumjeli <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2628""/>kulture <mqm:endIssue id=""2628""/>jako dobro, ali su shvatili da se moraju držati <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator2"" id=""2629""/>s<mqm:endIssue id=""2629""/> pravim stručnjacima.","Pod pravim vladarima sve je bilo drugačije. Kraljevi možda nisu shvaćali kulturu <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2630""/>vrlo dobro<mqm:endIssue id=""2630""/>, ali su shvatili da su morali <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2631""/>zabiti<mqm:endIssue id=""2631""/> s pravim stručnjacima.","Pod pravim vladarima sve je bilo drugačije. Kraljevi možda nisu dobro razumjeli kulturu, ali su shvatili da se moraju držati s <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3455""/>pravim<mqm:endIssue id=""3455""/> stručnjacima."
"Mnogi su rođeni tamo: Nomy, Tequila Jazz, sjećam se kad je <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2632""/>doveo <mqm:endIssue id=""2632""/>tamo <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2633""/>Shnur<mqm:endIssue id=""2633""/> s Van Gogh 's EAR <mqm:startIssue type=""Grammar"" severity=""null"" note="""" agent=""annotator2"" id=""2634""/>projekta<mqm:endIssue id=""2634""/>.","Mnogi su rođeni tamo: Nomy, Tequila Jazz, sjećam se kad je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2635""/>dopremio <mqm:endIssue id=""2635""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2636""/>Shnur <mqm:endIssue id=""2636""/>s Van Gogh<ins>Â </ins><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2637""/><del> </del>je Buba <mqm:endIssue id=""2637""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2638""/>projekt<mqm:endIssue id=""2638""/>.","Mnogi su se rodili tamo: Nomy, Tequila Jazz, sjećam se kada je shnur doveden tamo sa ""<mqm:startIssue type=""Accuracy"" severity=""null"" note="""" agent=""annotator2"" id=""3456""/>Ear <mqm:endIssue id=""3456""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3457""/>projektom<mqm:endIssue id=""3457""/>""."
"Ulaz je besplatan, a prilozi su strogo <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2639""/>zabranjeno<mqm:endIssue id=""2639""/>.","Ulaz je besplatan, a doprinosi su strogo <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2640""/>zabranjeno<mqm:endIssue id=""2640""/>.","Ulaz je besplatan, a <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3458""/>doprinosi <mqm:endIssue id=""3458""/>nisu dozvoljeni."
"""Tamo smo uzgajali <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2641""/>pilići <mqm:endIssue id=""2641""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2642""/>dvaput<mqm:endIssue id=""2642""/>, a onda <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2643""/>je prestala<mqm:endIssue id=""2643""/>, jer je nemoguće raditi s<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2644""/> <mqm:endIssue id=""2644""/>njima"", kaže Vladimir Sychev, potvrđujući neuspjeh eksperimenta s pilićima u svemiru.","""Tamo smo uzgajali piliće dva puta, i onda <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2645""/>je prestalo<mqm:endIssue id=""2645""/>, jer je nemoguće raditi s njima,"" kaže Vladimir Sychev, <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2646""/>potvrđuje<mqm:endIssue id=""2646""/> neuspjeh eksperimenta s pilićima u <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2647""/>prostoru<mqm:endIssue id=""2647""/>.","""Uzgajali smo dva puta<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3459""/> <mqm:endIssue id=""3459""/><mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""3460""/>dva puta<mqm:endIssue id=""3460""/>, a onda se <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""3461""/>zaustavio<mqm:endIssue id=""3461""/>, jer je nemoguće<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3462""/> <mqm:endIssue id=""3462""/>raditi s njima,"" kaže Vladimir Sychev, potvrđujući neuspjeh eksperimenta s komadima u svemiru."
"Nažalost, ne postoji <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""Project Manager"" id=""2648""/>čudo <mqm:endIssue id=""2648""/>recept za sprječavanje raka.","Nažalost, ne postoji <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""Project Manager"" id=""2649""/>čudo <mqm:endIssue id=""2649""/>recept za sprječavanje raka.","Nažalost, nema čudotvornog recepta za sprječavanje raka."
